,gens,fit_run_0,fit_run_1
145,145,15325488.337529957,408406884.61326134
146,146,15325488.337529957,408406884.61326134
147,147,15325488.337529957,408406884.61326134
148,148,15325488.337529957,408406884.61326134
149,149,15325488.337529957,408406884.61326134
150,150,15325488.337529957,408406884.61326134
151,151,15325488.337529957,408406884.61326134
152,152,15325488.337529957,408406884.61326134
153,153,15325488.337529957,408406884.61326134
154,154,15325488.337529957,408406884.61326134
155,155,15325488.337529957,408406884.61326134
156,156,15325488.337529957,408406884.61326134
157,157,15325488.337529957,408406884.61326134
158,158,15325488.337529957,408406884.61326134
159,159,15325488.337529957,408406884.61326134
160,160,15325488.337529957,408406884.61326134
161,161,15325488.337529957,408406884.61326134
162,162,15325488.337529957,408406884.61326134
163,163,15325488.337529957,408406884.61326134
164,164,15325488.337529957,408406884.61326134
165,165,15325488.337529957,408406884.61326134
166,166,15325488.337529957,408406884.61326134
167,167,15325488.337529957,408390726.4324034
168,168,15325488.337529957,408390726.4324034
169,169,15325488.337529957,408390726.4324034
170,170,15325488.337529957,408390726.4324034
171,171,15325488.337529957,408390726.4324034
172,172,15325488.337529957,408390726.4324034
173,173,15325488.337529957,408390726.4324034
174,174,15325488.337529957,408390726.4324034
175,175,15325488.337529957,408390726.4324034
176,176,15325488.337529957,408390726.4324034
177,177,15325488.337529957,408390726.4324034
178,178,15325488.337529957,408390726.4324034
179,179,15325488.337529957,408390726.4324034
180,180,15325488.337529957,408390726.4324034
181,181,15325488.337529957,408390726.4324034
182,182,15325488.337529957,408390726.4324034
183,183,15325488.337529957,408390726.4324034
184,184,15325488.337529957,408390726.4324034
185,185,15325488.337529957,408390726.4324034
186,186,15325488.337529957,408390726.4324034
187,187,15325488.337529957,408390726.4324034
188,188,15325488.337529957,408390726.4324034
189,189,15325488.337529957,408390726.4324034
190,190,15325488.337529957,408390726.4324034
191,191,15325488.337529957,408390726.4324034
192,192,15325488.337529957,408390726.4324034
193,193,15325488.337529957,408390726.4324034
194,194,15325488.337529957,408390726.4324034
195,195,15325488.337529957,408390726.4324034
196,196,15325488.337529957,408390726.4324034
197,197,15325488.337529957,408390726.4324034
198,198,15325488.337529957,408390726.4324034
199,199,15325488.337529957,408390726.4324034
200,200,15325488.337529957,408390726.4324034
